period,index
2019.3.10,27.1259
2019.3.11,38.9061
2019.3.12,38.9671
2019.3.13,38.4943
2019.3.14,35.9091
2019.3.15,33.3551
2019.3.16,24.1677
2019.3.17,25.0797
2019.3.18,38.5715
2019.3.19,39.0483
2019.3.20,39.2483
2019.3.21,38.4749
2019.3.22,34.77
2019.3.23,25.0242
2019.3.24,25.9868
2019.3.25,38.7634
2019.3.26,38.889
2019.3.27,37.5106
2019.3.28,35.6147
2019.3.29,31.6751
2019.3.30,23.579
2019.3.31,23.9912
2019.4.1,36.6098
2019.4.2,37.2695
2019.4.3,36.0653
2019.4.4,36.0067
2019.4.5,31.7053
2019.4.6,22.248
2019.4.7,23.7681
2019.4.8,37.8844
2019.4.9,37.3074
2019.4.10,37.4618
2019.4.11,35.454
2019.4.12,32.1794
2019.4.13,21.4665
2019.4.14,24.7307
2019.4.15,36.4514
2019.4.16,35.7421
2019.4.17,35.3136
2019.4.18,34.0644
2019.4.19,30.7369
2019.4.20,21.689
2019.4.21,22.6254
2019.4.22,34.7696
2019.4.23,35.6707
2019.4.24,37.0076
2019.4.25,36.1358
2019.4.26,32.9844
2019.4.27,21.2181
2019.4.28,23.0927
2019.4.29,37.1652
2019.4.30,32.1469
2019.5.1,28.5386
2019.5.2,34.0833
2019.5.3,30.4294
2019.5.4,21.2023
2019.5.5,20.1711
2019.5.6,26.1692
2019.5.7,36.1177
2019.5.8,33.9483
2019.5.9,34.1321
2019.5.10,30.5495
2019.5.11,21.4972
2019.5.12,22.1171
2019.5.13,35.2256
2019.5.14,35.7642
2019.5.15,35.854
2019.5.16,35.7543
2019.5.17,31.4335
2019.5.18,22.662
2019.5.19,24.589
2019.5.20,36.6776
2019.5.21,36.4834
2019.5.22,36.1123
2019.5.23,36.2802
2019.5.24,32.1523
2019.5.25,22.0231
2019.5.26,22.7428
2019.5.27,40.3951
2019.5.28,37.3318
2019.5.29,37.851
2019.5.30,35.6107
2019.5.31,30.9757
2019.6.1,22.4633
2019.6.2,23.7216
2019.6.3,37.0293
2019.6.4,36.99
2019.6.5,33.3095
2019.6.6,26.5249
2019.6.7,33.7027
2019.6.8,23.2941
2019.6.9,24.244
2019.6.10,38.3864
2019.6.11,37.8415
2019.6.12,36.901
2019.6.13,36.7204
2019.6.14,33.3167
2019.6.15,22.8399
2019.6.16,23.965
2019.6.17,38.4149
2019.6.18,38.6515
2019.6.19,37.5512
2019.6.20,35.8414
2019.6.21,32.9257
2019.6.22,22.6764
2019.6.23,22.853
2019.6.24,37.3629
2019.6.25,36.404
2019.6.26,36.2577
2019.6.27,35.0048
2019.6.28,31.261
2019.6.29,23.6462
2019.6.30,22.0381
2019.7.1,35.7335
2019.7.2,36.5954
2019.7.3,36.1236
2019.7.4,35.8206
2019.7.5,31.6245
2019.7.6,21.9897
2019.7.7,22.3365
2019.7.8,36.9986
2019.7.9,36.2486
2019.7.10,37.2279
2019.7.11,36.4541
2019.7.12,31.7523
2019.7.13,22.2421
2019.7.14,22.3979
2019.7.15,36.0491
2019.7.16,36.003
2019.7.17,35.5543
2019.7.18,35.3037
2019.7.19,31.6719
2019.7.20,22.5017
2019.7.21,22.7776
2019.7.22,35.3091
2019.7.23,35.0192
2019.7.24,34.4309
2019.7.25,33.5424
2019.7.26,30.6348
2019.7.27,20.7725
2019.7.28,21.0976
2019.7.29,32.1451
2019.7.30,31.8484
2019.7.31,30.526
2019.8.1,28.5788
2019.8.2,25.3764
2019.8.3,18.7277
2019.8.4,19.661
2019.8.5,30.8055
2019.8.6,31.3139
2019.8.7,33.3988
2019.8.8,32.197
2019.8.9,29.2122
2019.8.10,20.9053
2019.8.11,21.5193
2019.8.12,34.4707
2019.8.13,33.6589
2019.8.14,31.0033
2019.8.15,25.5348
2019.8.16,29.7436
2019.8.17,22.0769
2019.8.18,22.4602
2019.8.19,36.0148
2019.8.20,36.3534
2019.8.21,35.9114
2019.8.22,35.4364
2019.8.23,30.326
2019.8.24,20.9527
2019.8.25,21.9848
2019.8.26,35.3935
2019.8.27,36.4035
2019.8.28,35.4161
2019.8.29,34.1935
2019.8.30,29.8348
2019.8.31,20.9798
2019.9.1,22.1302
2019.9.2,34.4535
2019.9.3,35.8233
2019.9.4,36.213
2019.9.5,34.2761
2019.9.6,29.1806
2019.9.7,23.2991
2019.9.8,22.3482
2019.9.9,32.0895
2019.9.10,30.0601
2019.9.11,23.9641
2019.9.12,15.5488
2019.9.13,13.4065
2019.9.14,16.5687
2019.9.15,20.768
2019.9.16,36.1037
2019.9.17,36.3724
2019.9.18,36.1728
2019.9.19,34.7845
2019.9.20,30.8813
2019.9.21,22.9537
2019.9.22,24.5881
2019.9.23,35.8577
2019.9.24,35.4965
2019.9.25,35.1389
2019.9.26,34.7772
2019.9.27,31.727
2019.9.28,22.5342
2019.9.29,23.0255
2019.9.30,34.9028
2019.10.1,35.2432
2019.10.2,36.138
2019.10.3,26.6703
2019.10.4,30.8344
2019.10.5,23.0245
2019.10.6,23.8422
2019.10.7,37.2591
2019.10.8,33.9628
2019.10.9,27.1651
2019.10.10,35.18
2019.10.11,32.4173
2019.10.12,22.9492
2019.10.13,23.5121
2019.10.14,36.4843
2019.10.15,36.1615
2019.10.16,36.245
2019.10.17,35.3994
2019.10.18,32.9826
2019.10.19,22.667
2019.10.20,24.072
2019.10.21,38.028
2019.10.22,37.7756
2019.10.23,37.1286
2019.10.24,35.8879
2019.10.25,32.5595
2019.10.26,22.132
2019.10.27,23.5234
2019.10.28,36.1475
2019.10.29,37.5313
2019.10.30,35.743
2019.10.31,34.3592
2019.11.1,30.9906
2019.11.2,22.5572
2019.11.3,23.9713
2019.11.4,36.8554
2019.11.5,37.5783
2019.11.6,38.1449
2019.11.7,35.6455
2019.11.8,32.7338
2019.11.9,23.1185
2019.11.10,24.2779
2019.11.11,38.2406
2019.11.12,38.8704
2019.11.13,39.1445
2019.11.14,36.2189
2019.11.15,33.7122
2019.11.16,23.6074
2019.11.17,26.4816
2019.11.18,39.7048
2019.11.19,39.2185
2019.11.20,38.1327
2019.11.21,36.2952
2019.11.22,32.2435
2019.11.23,23.3483
2019.11.24,25.0712
2019.11.25,36.5584
2019.11.26,37.2717
2019.11.27,36.2699
2019.11.28,35.1795
2019.11.29,31.3355
2019.11.30,22.122
2019.12.1,25.0255
2019.12.2,35.3384
2019.12.3,36.5299
2019.12.4,36.2915
2019.12.5,34.8075
2019.12.6,31.5933
2019.12.7,23.0841
2019.12.8,24.0639
2019.12.9,35.7592
2019.12.10,35.4644
2019.12.11,36.0396
2019.12.12,35.2558
2019.12.13,31.5581
2019.12.14,22.9826
2019.12.15,24.1406
2019.12.16,35.5398
2019.12.17,37.083
2019.12.18,35.3886
2019.12.19,33.8463
2019.12.20,30.4077
2019.12.21,22.1058
2019.12.22,23.7212
2019.12.23,32.8327
2019.12.24,28.8961
2019.12.25,24.7583
2019.12.26,32.4462
2019.12.27,29.0451
2019.12.28,22.7225
2019.12.29,24.1659
2019.12.30,30.9432
2019.12.31,25.1854
2020.1.1,22.8047
2020.1.2,32.8692
2020.1.3,31.3509
2020.1.4,24.6824
2020.1.5,24.5072
2020.1.6,35.8974
2020.1.7,36.4613
2020.1.8,35.6428
2020.1.9,35.2942
2020.1.10,32.2611
2020.1.11,23.7126
2020.1.12,24.9244
2020.1.13,36.0197
2020.1.14,35.9448
2020.1.15,34.7732
2020.1.16,33.6977
2020.1.17,31.4683
2020.1.18,22.918
2020.1.19,23.6341
2020.1.20,32.3676
2020.1.21,31.1653
2020.1.22,29.2691
2020.1.23,23.8458
2020.1.24,15.7443
2020.1.25,13.8494
2020.1.26,16.8902
2020.1.27,23.4042
2020.1.28,34.0964
2020.1.29,35.8125
2020.1.30,35.2468
2020.1.31,32.0209
2020.2.1,25.0093
2020.2.2,26.5267
2020.2.3,36.3565
2020.2.4,42.7203
2020.2.5,39.8299
2020.2.6,38.074
2020.2.7,34.7027
2020.2.8,26.3845
2020.2.9,27.5801
2020.2.10,38.1643
2020.2.11,39.7224
2020.2.12,42.1798
2020.2.13,39.4375
2020.2.14,36.445
2020.2.15,26.8879
2020.2.16,29.0704
2020.2.17,40.9247
2020.2.18,40.9161
2020.2.19,39.3635
2020.2.20,37.8149
2020.2.21,33.7144
2020.2.22,27.045
2020.2.23,27.6184
2020.2.24,36.7173
2020.2.25,41.6859
2020.2.26,40.0588
2020.2.27,38.8163
2020.2.28,37.4681
2020.2.29,28.9571
2020.3.1,32.2467
2020.3.2,41.8995
2020.3.3,43.1551
2020.3.4,44.3479
2020.3.5,43.2445
2020.3.6,39.5499
2020.3.7,32.662
2020.3.8,33.2643
2020.3.9,45.0265
2020.3.10,47.9539
2020.3.11,44.5177
2020.3.12,43.2034
2020.3.13,39.5332
2020.3.14,30.568
2020.3.15,34.0553
2020.3.16,44.8942
2020.3.17,46.0748
2020.3.18,45.3534
2020.3.19,44.4711
2020.3.20,39.8863
2020.3.21,30.9974
2020.3.22,32.5528
2020.3.23,45.9042
2020.3.24,45.1868
2020.3.25,43.9709
2020.3.26,45.0256
2020.3.27,41.4019
2020.3.28,32.4236
2020.3.29,34.0088
2020.3.30,45.7633
2020.3.31,44.9028
2020.4.1,45.8139
2020.4.2,45.7967
2020.4.3,41.9103
2020.4.4,33.4806
2020.4.5,35.0043
